Start Date,End date,Trial #,Tank #,Abalone ID,Abalone size (mm),Predator type,Octopus name,Knot,Shell,Shell Damage,Soft tissue,Predated,Shell Damage
6/13,6/19,2,4,47,31,octopus,fettucini,Y,Absent,na,na,Y,shell missing
6/13,6/19,2,7,P95,31,crab,na,Y,Intact,none,Intact,N,none
6/13,6/19,2,9,W50,31,crab,na,Y,Intact,none,Intact,N,none
6/13,6/19,2,6,P82,32,crab,na,Y,Intact,none,Intact,N,none
6/13,6/19,2,14,69,33,octopus,macaroni,Y,Intact,none,Absent,Y,tissue missing + no damage
6/13,6/19,2,2,P96,26,control,na,Y,Intact,none,Intact,N,none
6/13,6/19,2,12,P85,27,crab,na,Y,Intact,none,Intact,N,none
6/13,6/19,2,11,65,33,crab,na,Y,Intact,none,Intact,N,none
6/13,6/19,2,3,45,31,octopus,linguini,Y,Absent,na,na,Y,shell missing
6/13,6/19,2,1,27,26,octopus,rigatoni,Y,Intact,none,Intact,N,none
6/13,6/19,2,8b,99,30,octopus,brie,Y,Intact,none,Intact,N,none
6/13,6/19,2,8a,83,24,control,na,Y,Intact,none,Intact,N,none
6/20,6/27,3,1,W25,34,octopus,manchego,Y,Intact,none,Intact,N,none
6/20,6/27,3,11,,34,octopus,asiago,Y,Intact,none,Intact,N,none
6/20,6/27,3,2,,31,octopus,rotini,Y,Intact,none,Absent,N,tissue missing + no damage
6/20,6/27,3,8a,W72,35,crab,na,Y,Intact,none,Intact,N,none
6/20,6/27,3,8b,W52,31,crab,na,Y,Intact,none,Intact,N,none
6/20,6/27,3,14,W62,34,octopus,cheese,N,Absent,none,Absent,Y,shell missing
6/20,6/27,3,3,W33,25,crab,na,Y,Partial,chipped,Intact*,N,none
6/20,6/27,3,12,W55,26,crab,na,Y,Intact,none,Intact,N,none
6/20,6/27,3,7,W42,28,crab,na,Y,Intact,none,Intact,N,none
6/20,6/27,3,6,W34,26,crab,na,Y,Intact,none,Intact,N,none
6/20,6/27,3,9,W35,29,crab,na,Y,Intact,none,Intact,N,none
6/20,6/27,3,4,W44,33,octopus,colby,Y,Intact,none,Intact,N,none
5/21,5/28,1,8a,91,21,octopus,asiago,Y,Absent,broken along apertures,na,Y,shell missing
5/21,5/28,1,8b,93,29,octopus,manchego,Y,Intact,none,Absent,Y,tissue missing + no damage
5/21,5/28,1,1,97,NM,control,na,Y,Intact,none,Intact,N,none
5/21,5/28,1,3,98,31,crab,na,Y,Partial,chipped,Absent,Y,tissue missing + shell damage
5/21,5/28,1,11,87,32,crab,na,Y,Intact,none,Partial,Y,tissue missing + no damage
5/21,5/28,1,12,,,octopus,colby,Y,Intact,none,Intact,N,none
5/21,5/28,1,14,88,34,octopus,velveeta,Y,Intact,none,Intact,N,none
5/21,5/28,1,2,94,27,crab,na,Y,Intact,none,Absent,Y,tissue missing + no damage
5/21,5/28,1,6,86,29,crab,na,Y,Partial,chipped,Absent,Y,tissue missing + shell damage
5/21,5/28,1,9,84,24,control,na,Y,Intact,none,Intact,N,none
5/21,5/28,1,7,89,28,crab,na,Y,Intact,none,Intact,N,none
5/21,5/28,1,4,96,28,octopus,feta,Y,Intact,none,Intact,N,none
6/27,7/2,4,3,W36,32,octopus,rigatoni,Y,Intact,none,Intact,N,none
6/27,7/2,4,4,W15,30,crab,na,Y,Intact,none,Absent,Y,tissue missing + no damage
6/27,7/2,4,7,W100,27,crab,na,Y,Intact,none,Absent,Y,tissue missing + no damage
6/27,7/2,4,9,W31,33,crab,na,Y,Intact,none,Intact,N,none
6/27,7/2,4,6,W10,31,crab,na,Y,Intact,none,Absent,Y,tissue missing + no damage
6/27,7/2,4,11,W13,33,crab,na,Y,Intact,none,Intact,N,none
6/27,7/2,4,8a,W7,27,octopus,brie,Y,Intact,none,Intact,N,none
7/2,7/9,5,8b,W55,26,crab,na,Y,Intact,none,Absent,Y,tissue missing + no damage
7/2,7/9,5,1,W27,26,crab,na,Y,Intact,none,Intact,N,none
7/2,7/9,5,12,W42,28,crab,na,Y,Intact,none,Intact,N,none
7/2,7/9,5,14,P82,32,crab,na,Y,Intact,none,Absent,Y,tissue missing + no damage
7/2,7/9,5,2,W34,26,crab,na,Y,Intact,chipped,Absent,Y,tissue missing + no damage